Sample in Buffer,Sample in Window,TRIGGER,ap_idle,ap_ready,ap_done,ap_start_1,layer18_out_TREADY,layer18_out_TVALID,layer18_out_TDATA[15:0],input_layer_TREADY,input_layer_TVALID,input_layer_TDATA[7:0],sending_active,event_counter[9:0],byte_counter[6:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
237,1,0,0,0,0,1,1,0,03e5,1,1,00,1,07d,58
238,0,1,0,0,1,1,1,1,007d,0,1,00,1,07e,58
239,1,0,0,0,0,1,1,0,007d,1,1,00,1,07e,58
240,0,1,0,0,1,1,1,1,0100,0,1,00,1,07f,58
241,1,0,0,0,0,1,1,0,0100,1,1,00,1,07f,58
242,0,1,0,0,1,1,1,1,00de,0,1,00,1,080,58
243,1,0,0,0,0,1,1,0,00de,1,1,00,1,080,58
244,0,1,0,0,1,1,1,1,0099,0,1,00,1,081,58
245,1,0,0,0,0,1,1,0,0099,1,1,00,1,081,58
246,0,1,0,0,1,1,1,1,00b1,0,1,00,1,082,58
247,1,0,0,0,0,1,1,0,00b1,1,1,00,1,082,58
248,0,1,0,0,1,1,1,1,0199,0,1,00,1,083,58
249,1,0,0,0,0,1,1,0,0199,1,1,00,1,083,58
250,0,1,0,0,1,1,1,1,03a1,0,1,00,1,084,58
251,1,0,0,0,0,1,1,0,03a1,1,1,00,1,084,58
252,0,1,0,0,1,1,1,1,0279,0,1,00,1,085,58
253,1,0,0,0,0,1,1,0,0279,1,1,00,1,085,58
254,0,1,0,0,1,1,1,1,015a,0,1,00,1,086,58
255,1,0,0,0,0,1,1,0,015a,1,1,00,1,086,58
256,0,1,0,0,1,1,1,1,0001,0,1,00,1,087,58
257,1,0,0,0,0,1,1,0,0001,1,1,00,1,087,58
258,0,1,0,0,1,1,1,1,03ed,0,1,00,1,088,58
259,1,0,0,0,0,1,1,0,03ed,1,1,00,1,088,58
260,0,1,0,0,1,1,1,1,0156,0,1,00,1,089,58
261,1,0,0,0,0,1,1,0,0156,1,1,00,1,089,58
262,0,1,0,0,1,1,1,1,0061,0,1,00,1,08a,58
263,1,0,0,0,0,1,1,0,0061,1,1,00,1,08a,58
264,0,1,0,0,1,1,1,1,03a7,0,1,00,1,08b,58
265,1,0,0,0,0,1,1,0,03a7,1,1,00,1,08b,58
266,0,1,0,0,1,1,1,1,000a,0,1,00,1,08c,58
267,1,0,0,0,0,1,1,0,000a,1,1,00,1,08c,58
268,0,1,0,0,1,1,1,1,034e,0,1,00,1,08d,58
269,1,0,0,0,0,1,1,0,034e,1,1,00,1,08d,58
270,0,1,0,0,1,1,1,1,0007,0,1,00,1,08e,58
271,1,0,0,0,0,1,1,0,0007,1,1,00,1,08e,58
272,0,1,0,0,1,1,1,1,0200,0,1,00,1,08f,58
273,1,0,0,0,0,1,1,0,0200,1,1,00,1,08f,58
274,0,1,0,0,1,1,1,1,00d1,0,1,00,1,090,58
275,1,0,0,0,0,1,1,0,00d1,1,1,00,1,090,58
276,0,1,0,0,1,1,1,1,01e0,0,1,00,1,091,58
277,1,0,0,0,0,1,1,0,01e0,1,1,00,1,091,58
278,0,1,0,0,1,1,1,1,03e5,0,1,00,1,092,58
279,1,0,0,0,0,1,1,0,03e5,1,1,00,1,092,58
280,0,1,0,0,1,1,1,1,0137,0,1,00,1,093,58
281,1,0,0,0,0,1,1,0,0137,1,1,00,1,093,58
282,0,1,0,0,1,1,1,1,0000,0,1,00,1,094,58
283,1,0,0,0,0,1,1,0,0000,1,1,00,1,094,58
284,0,1,0,0,1,1,1,1,0145,0,1,00,1,095,58
285,1,0,0,0,0,1,1,0,0145,1,1,00,1,095,58
286,0,1,0,0,1,1,1,1,03cc,0,1,00,1,096,58
287,1,0,0,0,0,1,1,0,03cc,1,1,00,1,096,58
288,0,1,0,0,1,1,1,1,00b6,0,1,00,1,097,58
289,1,0,0,0,0,1,1,0,00b6,1,1,00,1,097,58
290,0,1,0,0,1,1,1,1,0048,0,1,00,1,098,58
291,1,0,0,0,0,1,1,0,0048,1,1,00,1,098,58
292,0,1,0,0,1,1,1,1,0120,0,1,00,1,099,58
293,1,0,0,0,0,1,1,0,0120,1,1,00,1,099,58
294,0,1,0,0,1,1,1,1,0005,0,1,00,1,09a,58
295,1,0,0,0,0,1,1,0,0005,1,1,00,1,09a,58
296,0,1,0,0,1,1,1,1,0095,0,1,00,1,09b,58
297,1,0,0,0,0,1,1,0,0095,1,1,00,1,09b,58
298,0,1,0,0,1,1,1,1,0384,0,1,00,1,09c,58
299,1,0,0,0,0,1,1,0,0384,1,1,00,1,09c,58
300,0,1,0,0,1,1,1,1,0004,0,1,00,1,09d,58
301,1,0,0,0,0,1,1,0,0004,1,1,00,1,09d,58
302,0,1,0,0,1,1,1,1,03e4,0,1,00,1,09e,58
303,1,0,0,0,0,1,1,0,03e4,1,1,00,1,09e,58
304,0,1,0,0,1,1,1,1,0349,0,1,00,1,09f,58
305,1,0,0,0,0,1,1,0,0349,1,1,00,1,09f,58
