Sample in Buffer,Sample in Window,TRIGGER,ap_idle,ap_ready,ap_done,ap_start_1,layer18_out_TREADY,layer18_out_TVALID,layer18_out_TDATA[15:0],input_layer_TREADY,input_layer_TVALID,input_layer_TDATA[7:0],sending_active,event_counter[6:0],byte_counter[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
359,7,0,0,0,0,1,1,0,0253,0,1,00,1,75,218
360,0,1,0,0,1,1,1,1,03f1,0,1,00,1,76,216
361,1,0,0,0,0,1,1,0,03f1,1,1,00,1,76,216
362,2,0,0,0,0,1,1,0,03f1,0,1,00,1,76,217
363,3,0,0,0,0,1,1,0,03f1,0,1,00,1,76,217
364,4,0,0,0,0,1,1,0,03f1,1,1,00,1,76,217
365,5,0,0,0,0,1,1,0,03f1,0,1,00,1,76,218
366,6,0,0,0,0,1,1,0,03f1,0,1,00,1,76,218
367,7,0,0,0,0,1,1,0,03f1,0,1,00,1,76,218
368,0,1,0,0,1,1,1,1,0360,0,1,00,1,77,216
369,1,0,0,0,0,1,1,0,0360,1,1,00,1,77,216
370,2,0,0,0,0,1,1,0,0360,0,1,00,1,77,217
371,3,0,0,0,0,1,1,0,0360,0,1,00,1,77,217
372,4,0,0,0,0,1,1,0,0360,1,1,00,1,77,217
373,5,0,0,0,0,1,1,0,0360,0,1,00,1,77,218
374,6,0,0,0,0,1,1,0,0360,0,1,00,1,77,218
375,7,0,0,0,0,1,1,0,0360,0,1,00,1,77,218
376,0,1,0,0,1,1,1,1,00e4,0,1,00,1,78,216
377,1,0,0,0,0,1,1,0,00e4,1,1,00,1,78,216
